city_name,city_code
Avilton,20053751
Aviston,20032695
Avoca,20039934
Avon,20091002
Avon,20018561
Avon,20135628
Avon,20066664
Avon,20017069
Avon,20096923
Avon,20036546
Avon Center,20096924
Avon Park,20021409
Avon-by-the-Sea,20080507
Avondale,20120393
Avondale,20048277
Avondale,20005744
Avra,20005746
Awosting,20084794
Ayer,20061626
Azle,20126408
Aztec,20083073
Azusa,20011450
B and L Heliport,900012090
B and M Ranch Airport,900036484
B and S Warehouse Heliport,900033412
Babb,20076055
Babbitt,20066665
Baby Island Heights,20143011
Babylon,20084801
Back Bay,20061631
Backus Island,900021955
Bacliff,20126410
Bad Axe,20063874
Badger,20011452
Bahama,20091014
Bahama Park,20091015
Bailey,20017074
Bailey,20084806
Bailey Hall,20021425
Bailey Island,20051467
Baileys Harbor,20149340
Baileyton,20120408
Bainbridge,20143017
Bainbridge,20024858
Baird,20021426
Baird,20126422
Bak,20011457
Baker,20048285
Baker,20076057
Baker,20066675
Baker,20078834
Baker City,20104024
Bakersfield,20011460
Bakersville,20105633
Bakersville,20091023
Bakertown,20120418
Bal Harbour,20021434
Bala-Cynwyd,20105637
Balboa Island,20011463
Balch Springs,20126427
Bald Crossing,20120421
Bald Eagle Center,20066678
Bald Eagle Village,20019629
Bald Head Island,20091026
Bald Hill,20068796
Bald Knob,20007754
Baldwin,20091028
Baldwin,20063882
Baldwin,20149343
Baldwin,20021435
Baldwin Lake,20011468
Baldwin Park,20011469
Baldwinsville,20084832
Ballantyne,900054464
Ballard,20132592
Ballard,20011473
Ballard Pines,20021436
Ballew Mill,20024869
Ballinger,20126434
Ballston,20135663
Ballston Spa,20084837
Balm,20091035
Balmont,20076061
Balsam Lake,20149346
Baltimore,20053799
Bamboo,20091041
Bamboo,20021439
Bammel,20126438
Bancroft,20031368
Bandera,20126440
Bandon,20104028
Bangor,20051474
Banner Elk,20091045
Banner Hill,20120434
Banning,20011490
Banning Mills,20024876
Bannister,20063893
Bannockburn,20032720
Baptist Hospital Heliport,900007143
Bar Harbor,20051476
Baraboo,20149351
Baraga,20063895
Barberton,20096962
Barbourmeade,20043841
Barboursville,20145586
Barboursville,20135677
Barbourville,20043842
Bardstown,20043845
Bargersville,20036576
Baring,20143034
Barker,20126450
Barkeyville,20105667
Barlows Landing,20061646
Barnard,20134521
Barnardsville,20091062
Barnegat Bay,20080527
Barnegat Light,20080531
Barnes Prairie,20068814
Barnesville,20105679
Barnesville,20024892
Barnett,20071713
Barnettstown,20105680
Barneveld,20149355
Barnstable,20061648
Barnstead,20079473
Barnumton,20071715
Barnumville,20134524
Barnwell,20115487
Barr Lake,20017084
Barre,20134525
Barren Springs,20135701
Barrington,20032732
Barron,20149358
Barryville,20084871
Barstow,20011511
Bartlesville,20102144
Bartlett,20079476
Bartlett,20032741
Bartlett,20120454
Barton,20134526
Barton,20011518
Barton Memorial Hospital Heliport,900004601
Bartonsville,20105694
Bartow,20021447
Barview,20104035
Barwal,20021448
Basalt,20017086
Basile,20048313
Basket Creek,20024914
Basking Ridge,20080537
Bass Harbor,20051486
Bass Lake,20011520
Bass Lake Annex,20011521
Bass River,20061653
Bastrop,20126470
Bastrop,20048317
Basye,20135720
Bat Cave,20091071
Batavia,20084879
Batavia,20076071
Batavia,20096983
Batchelor Subdivision,20000235
Batesville,20036588
Batesville,20024921
Batesville,20068828
Batesville,20007787
Bath,20084883
Bath,20051489
Bath,20091075
Baton Rouge,20048321
Battle Creek,20063912
Battle Ground,20143042
Battle Mountain,20078843
Battleboro,20091077
Baudette,20066697
Bauxite Junction,20007792
Baxley,20024928
Baxter,20024929
Baxter,20145607
Baxter,20066698
Baxter Springs,20042135
Bay City,20126479
Bay City,20104041
Bay City,20063915
Bay Harbor,20126480
Bay Harbor Islands,20021462
Bay Head,20080542
Bay Hill,20021465
Bay Island,20135735
Bay Lake,20021467
Bay Minette,20000244
Bay Pines,20021469
Bay Point,20084889
Bay Point,20021470
Bay Saint Louis,20068835
Bay Shore,20084892
Bay Shores,20011531
Bay View,20143049
Bay View,20084894
Bay View Beach,20135737
Bay View Estates,20019644
Bayberry Bluffs,20091084
Bayberry Dunes,20019649
Baychester,20084900
Bayfield,20149373
Bayonet Point,20021476
Bayonne,20080547
Bayou Fountain,20048334
Bayou La Batre,20000248
Bayport,20084901
Bayshore,20091089
Bayshore,20021480
Bayshore,20104043
Bayshore,20011535
Bayshore Gardens,20021482
Bayside,20011536
Bayside,20084902
Bayside,20051493
Bayside Gardens,20104044
Baytown,20126487
Bayview,20143053
Bayview,20021485
Bayview,20066701
Bayview,20031383
Bayview District,20011539
Bayville,20019652
Bayville,20080550
Baywood Park,20011540
Beach,20095929
Beach Haven,20080554
Beach Haven Gardens,20080556
Beach Haven Park,20080558
Beach Park,20032756
Beach Point,20061663
Beaches Resort,20039962
Beachmont,20063923
Beachwood,20097000
Beacon,20084909
Beacon Hill,20115518
Beacon Hill,20021491
Beals,20051496
Bear,20019657
Bear Creek,20091100
Bear Creek Village,20105719
Bear Creek Village,20076077
Bear Dance,20076078
Bear Island,900007175
Bear Island,20079480
Bear Valley,20011550
Bear Valley Springs,20011551
Beardstown,20032759
Beartown,20084915
Bearwallow,20091108
Beaton,20063930
Beatrice,20077701
Beatty,20078844
Beattyville,20043884
Beaufort,20091110
Beaufort,20115521
Beaufort County Landing,20115522
Beaumont,20011555
Beaumont,20126503
Beaumont,20105733
Beauvoir,20068852
Beaver,20145623
Beaver,20132605
Beaver Bay,20066709
Beaver City,20077702
Beaver Creek,20091113
Beaver Creek,900039045
Beaver Creek,20151648
Beaver Dam,20043890
Beaver Dam,20149382
Beaver Falls,20105740
Beaver Meadows,20105742
Beaver Valley,20019660
Beaver Valley Estates Subdivision,20005765
Beavercreek,20097018
Beaverton,20104052
Becker,20066715
Becket Center,20061672
Beckett Ridge,20097023
Beckley,20145627
Beckley,20043893
Beckmann,20126510
Beckville,20066716
Beckwith,20120497
Bedford,20036608
Bedford,20105760
Bedford,20063936
Bedford,20135780
Bedford,20084926
Bedford,20061673
Bedford,20126513
Bedford,20079482
Bedford Park,20032769
Bedford Springs,20135782
Bedford-Stuyvesant,20084931
Bee Cave,20126515
Bee Ridge,20021505
Beebe,20007820
Beebe,20143068
Beech Grove,20036612
Beech Island,20115531
Beech Mountain,20091125
Beech Springs,20120515
Beechcliff,20105769
Beechertown,20091126
Beeghly Heights,20021507
Beeler Mill,20120521
Beer Bottle Crossing,20031392
Beeville,20126517
Bel Air,20053907
Bel Air,20011560
Bel Air,20126518
Bel Alton,20053911
Belair,20024974
Belcamp,20053915
Belden,20068859
Belding,20063943
Belen,20083094
Belfair,20143071
Belfast,20084947
Belfast,20051503
Belgium,20149391
Belgrade,20076090
Bell,20021513
Bell,20011565
Bell Buckle,20120531
Bell Gardens,20011566
Bella Vista,20007832
Bellaire,20063948
Bellaire Junction,20126529
Belle Chasse,20049758
Belle Fourche,20119366
